GENE1,GENE2,SCORE,HPRD,Pvalue
ABL2,IGF1R,3.763578605,2,0.094565
COL1A2,CD44,3.760035925,1,0.119437
TRAF4,TGFBR2,3.759298649,2,0.036030851
CRADD,FAS,3.759271282,2,0.097562884
TRIO,RYK,3.755131531,2,0.036255198
CD14,NOTCH1,3.754887544,2,0.028056
TRIO,PTPRS,3.753835975,2,0.016724642
LAMA2,NEO1,3.752276755,2,0.022582
RPS6KB1,ACVR1,3.751292545,2,0.031830712
PRKCA,TGFBR1,3.749451076,2,0.109667742
LCK,AXL,3.74489433,1,0.07469767
JAG1,INSR,3.744398343,2,0.069326324
CHKA,LDLR,3.739484655,2,0.051777655
PDGFRB,FGFR1,3.739143638,2,0.079820529
MAPKAPK5,TGFBR2,3.736883085,2,0.016544
VWF,IL1R1,3.733546808,2,0.030054
FYN,RYK,3.733333595,2,0.046599
RPS6KA5,TGFBR1,3.732386826,2,0.06645684
LDLR,LRP8,3.727337811,2,0.069372689
IGFBP3,IGF1R,3.725953778,1,0.029831222
GRB14,INSR,3.725762216,1,0.017334
TRAF2,NGFR,3.725450307,1,0.014178693
TNK2,EPHA4,3.721751241,2,0.060984
SNF1LK,EGFR,3.7215553,2,0.022729966
PRKCH,TGFBR2,3.721360927,2,0.049671
DAPK3,ACVR1B,3.720857775,2,0.029062
PTPN6,FGFR1,3.720478528,2,0.117767472
CDC14A,MET,3.719968753,2,0.14854942
STK24,TGFBR2,3.71925625,2,0.05431325
IGF1R,PTPRF,3.717658603,2,0.007831
CSK,FGFR1,3.717275152,2,0.120819
PRKACB,TGFBR1,3.717024591,2,0.079511
MARK2,TGFBR1,3.716934173,2,0.133639827
DUSP6,TGFBR2,3.710763016,2,0.129538817
PTPN1,NTRK3,3.710636661,1,0.027216672
ABL2,INSR,3.709441464,2,0.052634369
MAP3K4,BMPR1A,3.709216982,2,0.031230351
RPS6KA2,TGFBR2,3.706717666,2,0.003461334
STK17A,TGFBR1,3.706662534,2,0.162060466
PKN1,TGFBR2,3.704126397,2,0.097079937
LGALS3BP,ITGB1,3.703335406,1,0.033768
STK24,BMPR2,3.70037553,2,0.124349363
FN1,IL6ST,3.700278796,2,0.025539871
ROR2,PTPRF,3.698791066,2,0.01863
PTPN11,IFNAR1,3.697288852,1,0.042406852
IGF1R,CSF1R,3.696751498,2,0.094323668
INSR,RYK,3.696508284,2,0.141534383
FADD,TNFRSF10A,3.695770752,1,0.033273918
LAMA4,NEO1,3.694890139,2,0.063923
DAPK3,TGFBR1,3.694755296,2,0.067134
ADRBK1,PDGFRB,3.694664118,2,0.019824549
IL2RB,IL2RG,3.694626507,1,0.080361
PDGFRB,PDGFRA,3.69442257,1,0.05951743
SRC,ERBB2,3.693516188,1,0.061976855
GAB1,ERBB2,3.693364935,2,0.038998102
IL4R,IL7R,3.691316172,2,0.006378
TRIO,IGF1R,3.690156634,2,0.070667366
ROCK1,PDGFRA,3.68961048,2,0.062954
PRKD2,EGFR,3.689151844,2,0.007765
RIPK2,BMPR1A,3.688190539,2,0.060196039
BUB1B,BMPR1A,3.687589202,2,0.030587
JAK2,KIT,3.687126684,1,0.049084517
PRKCI,BMPR1A,3.68633076,2,0.020009
LY6E,NOTCH1,3.686253741,2,0.016921
JAK1,FGFR4,3.684287854,2,0.059832854
TRIO,FGFR3,3.683563978,2,0.038776811
TNC,ITGA5,3.681597014,1,0.03576
DST,PTPRS,3.680760874,2,0.077139041
JAG1,NOTCH1,3.676800127,1,0.006796706
ITGB1,ITGA4,3.676369793,1,0.131433374
CSNK1G2,TGFBR2,3.675444287,2,0.033603
EGFR,ERBB3,3.675220842,1,0.009149
TRIO,FGFR1,3.674855689,2,0.01809
FER,MET,3.674026269,2,0.103688
SRC,TYRO3,3.673788253,1,0.08710108
GNAI3,TACR2,3.672576691,2,0.303031
JAK1,EPHA4,3.671635218,2,0.02502
LIMK1,BMPR2,3.671231039,1,0.04607
TRAF2,TNFRSF1A,3.669595594,1,0.067593594
TIMP1,NOTCH1,3.669440485,2,0.159565
PTPN11,DDR1,3.668961922,2,0.176797922
ITGB4,PTPRF,3.66575932,2,0.093804153
FGD1,FGFR1,3.664855054,2,0.024372113
STK17A,TGFBR2,3.664257203,2,0.028234297
MARK2,CSF1R,3.664047156,2,0.031746011
SNF1LK,PDGFRA,3.663432121,2,0.141763121
TIMP1,NCSTN,3.659859591,2,0.008849
ECM1,LRP6,3.659851175,2,0.017188
SRC,AXL,3.659225212,1,0.050287454
PDGFRB,AXL,3.658835281,2,0.056047219
PTPN11,IGF1R,3.657147638,1,0.081848862
TRIO,NTRK2,3.656937785,2,0.01455
EPHB4,DDR1,3.656891218,2,0.014391282
PTPN1,ERBB2,3.656805864,2,0.126048197
PRKCH,BMPR1A,3.656444468,2,0.006406
PLAUR,LRP1,3.653271946,1,0.023312
NTRK2,PTPRF,3.652361119,2,0.019227
PTPN6,EPHA2,3.652055422,2,0.026867089
ITGAX,ITGB2,3.65124946,1,0.01006104
YES1,CSF1R,3.65055609,1,0.030719757
PTPN1,EPHB4,3.650521186,2,0.127312481
ERBB2,EPHA2,3.650018095,2,0.051777595
ERBB2IP,DGCR2,3.647712066,2,0.020790899
SNF1LK2,FGFR4,3.647411016,2,0.094695
C3,IL6ST,3.646970875,2,0.036525
SNF1LK,DDR1,3.645605669,2,0.011456503
HSPG2,ITGB1,3.644930444,1,0.119966
SERPING1,SELP,3.642930316,1,0.0205
MAP2K4,PTPRG,3.642903771,2,0.028185
AKT1,EGFR,3.639417022,2,0.136992522
SNF1LK,DDR2,3.638732255,2,0.088789412
DKK1,LRP5,3.636431005,1,0.056306
ABL2,RYK,3.636364224,2,0.006866391
FN1,ITGB6,3.636316771,1,0.120017396
FURIN,LRP8,3.636197383,2,0.058179783
GNA11,ADRA1B,3.634182989,1,0.094839
POFUT1,EPHA2,3.63313805,2,0.10058255
LAMA5,AMFR,3.633131514,2,0.09900882
LYN,RYK,3.63261136,2,0.012687027
ITGB1,PTK7,3.632211816,2,0.048792
FES,EGFR,3.632129875,2,0.016350709
STK38L,BMPR1A,3.632111858,2,0.102684358
FADD,TNFRSF10B,3.631300917,1,0.088576917
INHBA,ENG,3.630686237,1,0.14365307
JAG1,PTK7,3.630530652,2,0.027509
CTGF,NEO1,3.628736144,2,0.040539023
PRKD3,ROR1,3.628711072,2,0.169073
LAMC1,ENG,3.626829022,2,0.042658
TYK2,EGFR,3.625189863,2,0.073547
ROR1,PTPRF,3.621963407,2,0.051774
SHC1,IGF1R,3.62165142,1,0.020332
HBEGF,EGFR,3.621580096,1,0.076967
IGF1R,EPHA2,3.62110727,2,0.039497936
EGF,ERBB2,3.620423981,1,0.030492981
PIM2,TGFBR2,3.620261775,2,0.100868392
GNAS,TSHR,3.619577407,1,0.174005
COL1A2,IFNAR2,3.618678356,2,0.004473522
PTPRU,TYRO3,3.618455553,2,0.006657
MDK,LRP1,3.617032153,1,0.043463
NDST1,LDLR,3.61689137,2,0.141581
CYR61,ITGB1,3.616259428,2,0.185071572
PRKCD,TGFBR2,3.616073093,2,0.020794
MAP3K7,BMPR1A,3.614214476,2,0.074403357
CYR61,ITGB3,3.610552151,2,0.024635
PTK7,EPHA2,3.61000639,2,0.056515943
SNF1LK,FGFR4,3.607767207,2,0.088619
ILK,BMPR1A,3.606446992,2,0.064253
CDH3,ITGB1,3.60591243,2,0.034315763
PDPK1,TGFBR1,3.604247491,2,0.066223343
MAP2K5,TGFBR2,3.602985937,2,0.137803563
JAG1,NOTCH2,3.602353808,1,0.05586
CBL,CSF1R,3.602324165,1,0.018437
DAPK1,BMPR2,3.600494877,2,0.015702
RYK,FGFR4,3.600143105,2,0.115896271
ITGB1,CD81,3.600118285,1,0.083298715
PTPN11,MET,3.599784022,1,0.081741978
RAD23A,CSF1R,3.599387706,2,0.010581294
ADAMTS1,IGF1R,3.597444387,2,0.131834
IRAK1,TGFBR2,3.597262629,2,0.036894037
GDF15,CD97,3.597109402,2,0.064038569
TYK2,KDR,3.596900017,2,0.049993
PDGFRB,IGF1R,3.595926836,2,0.022105
TGFB1,TNFRSF1A,3.594665692,2,0.120932692
FAT,ITGA2,3.593718651,2,0.007836484
ARHGEF12,IGF1R,3.591604333,1,0.12524
SPG7,TIE1,3.590772267,2,0.0582216
TRIO,TGFBR2,3.589821871,2,0.138975
CDH3,CD9,3.586157191,2,0.023153809
CXCL3,IL8RA,3.584559813,1,0.006444
CSNK2A2,TGFBR2,3.583953939,2,0.104833
PTK2,PTK7,3.583178502,2,0.02943
ITGB2,TIE1,3.582117194,2,0.045448694
MAP3K5,ACVR1B,3.581584772,2,0.07179
SFRP1,KDR,3.580479746,2,0.005024746
THBS1,PLXNB1,3.580433603,2,0.091166397
COL1A1,ITGB2,3.57859298,2,0.042359147
SYK,PDGFRA,3.578365,2,0.045532333
SNF1LK2,DDR2,3.577495593,2,0.148940073
FRAT2,EPHA2,3.577471531,2,0.050654636
RASA1,IGF1R,3.577392087,1,0.00674
SLIT2,ITGB1,3.577291954,2,0.105348379
DDR1,IGF1R,3.576454756,2,0.083184
SPARC,AMFR,3.575879597,2,0.0333
PTPN1,PDGFRB,3.575259413,2,0.045236
PTPN11,NTRK2,3.574598285,2,0.045999048
STK25,TGFBR1,3.57376541,2,0.010529923
COL2A1,DDR1,3.573392693,1,0.023482
EPHA3,PTK7,3.572912011,2,0.093191656
EGFR,PTPRG,3.571410162,2,0.126674338
PRKD3,PDGFRA,3.570333706,2,0.020334794
TRADD,TNFRSF25,3.569787276,1,0.092447
NR4A2,NOTCH2,3.568953662,2,0.087630662
STK24,BMPR1A,3.567748657,2,0.061404
PTPRU,FGFR1,3.567166797,2,0.091467464
PTK7,NEO1,3.565363907,2,0.052172
CASP8,FAS,3.564269196,1,0.05264
PTPRJ,EPHA2,3.563316129,2,0.046394704
AXL,PTPRF,3.561670725,2,0.022814392
JAG1,EGFR,3.56068551,2,0.017909323
PPFIA1,PTPRF,3.560675573,1,0.134917
PTPN11,KIT,3.560666487,1,0.060305
FAS,TNFRSF1A,3.560326221,2,0.020889779
LRP6,LRP8,3.5589631,2,0.005883
MAP4K4,TGFBR1,3.557585546,2,0.031548046
THBS4,PLAUR,3.556456556,2,0.043135778
EPHA5,BMPR2,3.556036697,2,0.01499
ITGB1,IL1R1,3.555918941,2,0.015518226
CDH11,ITGA2,3.552901525,2,0.032812975
NFKB1,NOTCH1,3.552474273,1,0.010764
PTPN1,FLT1,3.551939428,2,0.066312
SRC,MST1R,3.549155005,1,0.013123
JAK1,PTPRS,3.548559464,2,0.144986703
PLXNB1,EPHA2,3.546300509,2,0.067375
IL2RG,IL15RA,3.545905504,1,0.08214633
COL1A2,IL1R1,3.545329601,2,0.009324
EDD1,ROR2,3.544249013,2,0.037375
TGFB3,EGFR,3.544137788,2,0.004412878
BMPR2,BMPR1B,3.54379702,1,0.01188452
COL1A2,BMPR2,3.543671578,2,0.007488
PTK2,EPHA2,3.543435247,1,0.023658
COL1A2,IL10RB,3.543368974,2,0.039908192
SRC,EPHB2,3.542845916,1,0.025399
SRC,PTPRF,3.541753645,2,0.060291355
CCL5,CCR3,3.541396182,1,0.110458
FADD,TNFRSF21,3.540984266,2,0.0512299
PKN1,BMPR1A,3.540918725,2,0.030136
GAS6,EGFR,3.540460352,2,0.043149019
COL18A1,ENG,3.540192335,2,0.028096
HSPA8,TNFRSF1A,3.539519071,1,0.046031
ITGAE,ITGB7,3.539030903,1,0.075041
ERBB2,PTPRF,3.538589761,2,0.099809594
FLT1,KDR,3.534845916,1,0.017158
LRPAP1,LRP1,3.533766119,1,0.009332
KLRC2,KLRD1,3.532724513,1,0.028897
STARD3,LDLR,3.530438844,2,0.082529344
THBS1,NOTCH4,3.529832958,2,0.085973625
STK25,TGFBR2,3.527949118,2,0.025365
PDGFRB,RYK,3.527510418,2,0.074973
JAK1,BMPR1A,3.525880121,2,0.030799713
ROCK1,ACVRL1,3.525784849,2,0.005277
FN1,F3,3.525656794,2,0.028066
CD14,ITGAM,3.525293347,1,0.03380918
PTPRG,EPHA2,3.524835335,2,0.038205
TRA1,ATRN,3.524075095,2,0.040017595
RYK,EPHB4,3.521519526,2,0.188734526
COL14A1,CD44,3.521090075,1,0.018506
PTGDS,LDLR,3.518838429,2,0.084697
ABL1,PTPRG,3.518103959,2,0.013528
PDGFRB,CSF1R,3.517971855,2,0.113337
VEGF,KDR,3.517490911,1,0.009952
TRAF4,NGFR,3.51696525,1,0.03044125
RIPK1,TNFRSF10B,3.51692398,1,0.03645902
PPAP2A,NOTCH2,3.516818301,2,0.063665866
C1R,LDLR,3.514942595,2,0.048775
LATS1,BMPR1A,3.514450376,2,0.036376
YES1,KDR,3.513706794,2,0.055124
FADD,FAS,3.513549322,1,0.007029
SFRP1,NRP1,3.512869232,2,0.103800065
EDD1,EPHB2,3.512213022,2,0.061604
CYR61,CSF1R,3.511391229,2,0.231096104
PTPN1,CSF1R,3.51133395,2,0.016764617
GRB14,PDGFRB,3.511332933,1,0.005978
SERPINE1,ATRN,3.511104754,2,0.063700246
TRADD,TNFRSF21,3.51075674,1,0.007844093
CHEK1,BMPR1A,3.510674402,2,0.008648
EPHB3,FGFR1,3.510494191,2,0.090108476
ITGB1,ITGA2,3.509887682,2,0.033808
GNAI2,NPY1R,3.509728676,2,0.318902
COL1A2,ROBO1,3.508966608,2,0.032072
GSK3B,ACVR1,3.506034343,2,0.045867509
SNF1LK,BMPR2,3.505829916,2,0.026125
RIPK1,TNFRSF10A,3.505513642,1,0.011867642
FGFR2,EPHB4,3.504280711,2,0.013250456
DKK1,LRP6,3.50402891,1,0.08556259
ROCK1,KDR,3.501647067,2,0.018731
ADRBK2,NTRK2,3.50075515,2,0.149869
TRIO,ROR1,3.499070364,2,0.106863803
CCL13,CCR3,3.498970729,1,0.063540937
PTK2,EPHB4,3.496538735,2,0.075589
CST3,ITGA5,3.496364101,2,0.046016
MLL,PLXNB1,3.495898197,1,0.070767
SEMA3B,NRP1,3.495769659,1,0.140288675
PLK2,BMPR1A,3.495209698,2,0.024819365
DAPK2,TGFBR2,3.493067385,2,0.013331115
THBS1,IFNAR1,3.491866367,2,0.022971
PTK2B,EGFR,3.49107929,1,0.100211457
CCL13,CCR2,3.490963675,1,0.022846159
SPP1,ATRN,3.489133004,2,0.038779
CDC2L1,TGFBR2,3.488345917,2,0.131695
GNA15,LHCGR,3.488314748,2,0.045196252
SNF1LK,EPHB2,3.488021879,2,0.078433954
RARG,NOTCH4,3.488018077,2,0.034103423
SPG7,ENG,3.487664684,2,0.009286
GRB10,IGF1R,3.487597129,1,0.083089
TGFBR2,BMPR2,3.486816221,2,0.040856221
ENG,CD97,3.486796071,2,0.105371596
LRP6,NOTCH4,3.483606201,2,0.097607867
IFNAR1,IFNAR2,3.483056369,2,0.154162964
LAMA4,NRP1,3.482717026,2,0.007641
HARSL,LDLR,3.482598688,2,0.015306
MAP4K3,ACVR1B,3.481659969,2,0.103689
PTPRG,IGF1R,3.48058502,2,0.029886
TNK2,PTPRS,3.479643179,2,0.081986
YES1,PTPRF,3.479308404,2,0.05185
CD9,ITGB1,3.477441444,1,0.02954511
ITGA5,ITGB5,3.477313907,1,0.09911726
LU,PTPRF,3.476915075,2,0.006826
FGFR3,PTPRD,3.47631182,2,0.063376
CASP10,FAS,3.47605248,1,0.000421354
STK38,ACVR1B,3.47281234,2,0.07402134
ADRBK1,CSF1R,3.472456121,2,0.071859379
VEGFB,NRP1,3.472085448,1,0.011061948
MAP3K5,TGFBR1,3.470235672,2,0.045446
PRKD2,MET,3.469740918,2,0.100227916
JAK1,DDR2,3.468588425,2,0.028644
LIMK1,TGFBR1,3.467801431,2,0.038593597
DCBLD2,NOTCH4,3.467178394,2,0.033983773
VEGF,NRP1,3.466686408,1,0.012325
ADRBK1,TGFBR2,3.466531724,2,0.137780224
TGFBR1,ACVR1B,3.465403332,2,0.020443
JAG1,FGFR1,3.464748469,2,0.117147
COL7A1,DGCR2,3.46368125,2,0.06402425
STK3,TGFBR2,3.463055806,2,0.086985027
YES1,RYK,3.461948741,2,0.021696
LATS1,TGFBR2,3.461682099,2,0.047203734
MATK,NTRK1,3.461189431,1,0.082059
JAK1,ACVR1B,3.461064178,2,0.015929
PTK2,AXL,3.461040543,2,0.019975
TGFB1,FAS,3.460509959,2,0.056210207
MALT1,IL6R,3.459167675,2,0.043103175
CCKAR,CCKBR,3.458568386,1,0.024456
PRKCB1,TGFBR2,3.458284068,2,0.164734599
IGF1R,KDR,3.457915456,2,0.07403121
PDGFRB,PTK7,3.457768816,2,0.010463
THBD,TNFRSF7,3.457595439,2,0.054637772
BUB1,TGFBR2,3.457581913,2,0.04453
MAP4K5,TGFBR2,3.456861959,2,0.013954
FAS,TNFRSF21,3.455710131,2,0.004743202
DGCR2,ENG,3.455707539,2,0.009674
LYN,KIT,3.455502,1,0.006136
